Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
BEING THE RICARDOS,75%,100+ Verified Ratings,68%,BEING THE RICARDOS,"Biography, Drama",English,Aaron Sorkin,"Todd Black, Jason Blumenthal, Steve Tisch, Desi Arnaz Jr.",Aaron Sorkin,"Dec 10, 2021  Limited","Dec 21, 2021",,2h 5m,Amazon Studios,"Lucille Ball (Nicole Kidman) and Desi Arnaz (Javier Bardem) are threatened by shocking personal accusations, a political smear and cultural taboos in Academy Award (R)-winning writer and director Aaron Sorkin's behind-the-scenes drama Being the Ricardos. A revealing glimpse of the couple's complex romantic and professional relationship, the film takes audiences into the writers' room, onto the soundstage and behind closed doors with Ball and Arnaz during one critical production week of their groundbreaking sitcom ""I Love Lucy."""
SAMUEL,--,0 Ratings,--,SAMUEL,Drama,Spanish,Cesar Lucena,,,,,,1h 15m,,A young man's (Erich Wildpret) life is irrevocably changed when he and his wife go in search of a treatment for infertility and discover that he has the power to heal others.
BETTER DAYS,--,0 Ratings,--,BETTER DAYS,"Comedy, Drama",English,Alessio Di Giambattista,"Scott Connolly, Veronica Radaelli, Lorenzo Mazzé",Alberto Iozzia,,"Jun 1, 2020",,1h 25m,,"At his best friend's New Year's Eve party, Gary desperately tries to spark the interest of Ann, but ends up receiving devastating news instead."
ALICK AND ALBERT,--,0 Ratings,--,ALICK AND ALBERT,Documentary,English (Australia),Douglas Watkin,"Trish Lake, Meredith Garlick","Douglas Watkin, Trish Lake",,,,1h 30m,,"Follows the friendship of artist Alick Tipoti and Prince Albert II of Monaco, who live worlds apart, but unite to help protect the world's oceans and create change."
O CHRISTMAS TREE,--,0 Ratings,--,O CHRISTMAS TREE,,,,,,,,,,,Director: Jerry Reynolds
TOOFAAN,31%,Fewer than 50 Ratings,50%,TOOFAAN,"Drama, Action, Romance",Hindi,Rakeysh Omprakash Mehra,"Farhan Akhtar, Rakeysh Omprakash Mehra, Ritesh Sidhwani",Anjum Rajabali,,"Jul 16, 2021",,2h 43m,,The story of a championship boxer.
MERRY SWITCHMAS,--,0 Ratings,--,MERRY SWITCHMAS,"Holiday, Drama",English,Christopher Nolen,Christopher Nolen,Gabrielle Collins,,"Dec 9, 2021",,1h 30m,,"Identical twin sisters decide to swap places for the night during their parents' annual Christmas party, where their boyfriends, a feisty great-aunt, and more are in attendance."
THE DAY I LOST MYSELF,--,0 Ratings,--,THE DAY I LOST MYSELF,"Mystery & Thriller, Drama",English,,,,,,,1h 39m,,Xochil dives into her past to find herself and open the doors of a world she thought forgotten.
LAURA'S STAR,82%,500+ Ratings,--,LAURA'S STAR,"Kids & Family, Fantasy, Animation",German,"Piet De Rycker, Thilo Rothkirch",,,,"Jul 16, 2019",,1h 20m,,"After moving to a new city, an adolescent (Celine Vogt) befriends a wounded star that fell from the sky."
MONSTA X: THE DREAMING,--,Fewer than 50 Ratings,--,MONSTA X: THE DREAMING,"Documentary, Music",Korean,Oh Yoon Dong,Seong Sin-hyo,,,,,1h 30m,,"Concert performances, interviews and personal stories from Korean pop group Monsta X."
SNOOPY PRESENTS: FOR AULD LANG SYNE,72%,Fewer than 50 Ratings,--,SNOOPY PRESENTS: FOR AULD LANG SYNE,"Animation, Comedy, Kids & Family",English,Clay Kaytis,,"Alex Galatis, Scott Montgomery",,"Dec 10, 2021",,,,"After the Peanuts gang experience a disappointing Christmas because Grandma can’t visit, Lucy resolves to throw herself the best New Year’s Eve party ever, while Charlie Brown struggles to accomplish just one of his resolutions before the clock strikes twelve."
THE HOUSEWIVES OF THE NORTH POLE,--,Fewer than 50 Ratings,--,THE HOUSEWIVES OF THE NORTH POLE,"Comedy, Drama",English,Ron Oliver,,"Neal H. Dobrofsky, Spyder Dobrofsky, Tippi Dobrofsky",,"Dec 9, 2021",,1h 30m,,"The Christmas Queens of North Pole, Vermont, Trish and Diana, have won the Best Holiday House decorating competition every year for the past nine years. But days before Christmas, a friendship-ending argument sparks a town-wide feud and draws the attention of a national magazine writer hoping to make a name for herself with her scintillating exposé."
YUNI,--,0 Ratings,100%,YUNI,Drama,Indonesian,Kamila Andini,Ifa Isfansyah,"Kamila Andini, Prima Rusdi",,,,1h 35m,,"Yuni is a smart teenage girl with big dreams. She thinks everything is possible until one day she gets proposed by a man she barely knows. She rejects the proposal and it becomes the talk of her town. The second proposal comes but Yuni still believes in her dreams, so does her family. But something bigger comes up this time. A myth that you cannot reject more than two proposals otherwise you will never get married. Facing the pressure, there are two things that Yuni can choose to: a relationship with Yoga, a younger boy from her school; and poetry reading from the literature class her favorite lecturer, Pak Damar, teaches. With poetry, Yuni feels she can disappear and hide from the world. Until Pak Damar comes to her house and becomes the third person that proposes to her. Yuni still has two options: to run away with Yoga, or to get married to Pak Damar. Both of the options sound like a good deal. But does marriage always have to be a ""deal""?"
MADALENA,--,0 Ratings,83%,MADALENA,"Drama, Lgbtq+",Portuguese (Brazil),Madiano Marcheti,"Clélia Bessa, Marcos Pieri, Joel Pizzini","Tiago Coelho, Helena Vieira, Thiago Gallego, Thiago Ortman, Tiago Coelho, Helena Vieira, Thiago Gallego, Thiago Ortman, Madiano Marcheti",,"Feb 3, 2022",,1h 25m,,"Luziane, Cristiano, and Bianca have almost nothing in common, beside the fact that they all live in the same rural city surrounded by soy fields in western Brazil. While they don't know one another, each of them is affected by Madalena's disappearance. In different parts of the town, each in their own way, they react to her absence."
LOVE IS COLOR BLIND,--,0 Ratings,--,LOVE IS COLOR BLIND,Romance,Tagalog,John Leo Garcia,"Kara U. Kintanar, Carmi Raymundo","Kristine Gabriel, Simon A. Arciaga",,,,1h 55m,,"When an artist becomes colorblind after an accident, his long-besotted friend tries to help. However, two other love interests complicate matters."
DROMOI,--,0 Ratings,--,DROMOI,"Drama, Foreign",English,Dimitris Koutsiabasakos,"Yorgos Kyriakos, Costas Lambropoulos","Panagiotis Christopoulos, Dimitris Koutsiabasakos, Glykeria Patramani, Yiannis Tsiros",,,,1h 41m,,"Daniel, a German teenager, is sent to Greece, in a youth detention center. There, in an abounded village of Evros, near the Turkish borders, faces a foreign natural and human environment. Daniel experiences new emotions to him and has to give solutions to difficult dilemmas... his final decision will surprise everyone."
VOODOO MACBETH,--,0 Ratings,77%,VOODOO MACBETH,Drama,English,"Dagmawi Abebe, Víctor Alonso-Berbel, Roy Arwas, Hannah Bang, Christopher Beaton, Agazi Desta, Tiffany Kontoyiannis-Guillen, Zoë Alyce Salnave, Ernesto Sandoval, Sabina Vajraca","Miles Alva, Jason Phillips","Agazi Desta, Jennifer Frazin, Morgan Milender, Molly Miller, Amri Rigby, Joel David Santner, Erica Sutherlin, Chris Tarricone","Oct 21, 2022  Limited",,,1h 48m,Lightyear Entertainment,"1936 Harlem is a neighborhood battered by economic strife and hardship. With FDR's New Deal providing funding for the Federal Theatre Project's Negro Unit, director Rose McClendon convinces co-director John Houseman to help her bring Shakespeare's ""Macbeth"" to the Harlem community at the Lafayette Theater -- with an all-Black cast. They choose for their groundbreaking production a gifted but untested 21-year-old director by the name of Orson Welles, whose reimagined Haitian vision for the Scottish play is as daring and fresh as the cast and crew themselves."
THE HATING GAME,67%,250+ Ratings,69%,THE HATING GAME,"Romance, Comedy",English,Peter Hutchings,"Brice Dal Farra, Claude Dal Farra, Santosh Govindaraju, Brian Keady, Dan Reardon",Christina Mengert,"Dec 10, 2021  Limited","Dec 10, 2021",,1h 42m,Vertical Entertainment,"Based on the best-selling book, THE HATING GAME tells the story of ambitious good girl Lucy Hutton and her cold, efficient work nemesis, Joshua Templeton. Committed to achieving professional success without compromising her ethics, Lucy ultimately embarks on a ruthless game of one-upmanship against Josh, a rivalry that is increasingly complicated by her mounting attraction to him."
THE MORNING AFTER,--,0 Ratings,--,THE MORNING AFTER,"Drama, Lgbtq+",English,Lauren Minnerath,"Taylor Hess, Lauren Minnerath",Lauren Minnerath,,,,13m,,A young woman introduces her African American girlfriend to her conservative father the morning after the 2016 presidential election.
REMNANTS,--,0 Ratings,--,REMNANTS,Drama,English,"Rj Holloway, Christopher Rojas",,Fadia Hallak,,,,7m,,A writer ponders his wife's death.
LAST CALL,--,Fewer than 50 Ratings,--,LAST CALL,Drama,English,Christine Lucas,,"Jorge Durán, Christine Lucas, David T Page",,"Jun 5, 2007",,1h 32m,,A trio of strange love triangles plays out in a converted apartment building.
SHOOTING STARS,--,0 Ratings,--,SHOOTING STARS,Action,English,Richard Lang,Richard Lang,Michael Fisher,,,,1h 36m,,"Two fired TV-show detectives (Billy Dee Williams, Parker Stevenson) become private eyes and tie a politician (Robert Webber) to corruption."
DARYN'S GYM,--,0 Ratings,--,DARYN'S GYM,Comedy,English,Brett Michael Innes,"Brett Michael Innes, Paulo Areal",Brett Michael Innes,,,,1h 30m,,"A third generation family gym finds itself in a David & Goliath type battle when fitness conglomerate, Stars Fitness, opens a branch across the road from them. With the little gym already struggling to make ends meet, it is up to the timid Daryn JNR and his mismatched staff to make sure that they not only survive the daily drama of running a gym but that the business his grandfather started turns a profit."
THE ASCENT,--,0 Ratings,--,THE ASCENT,Drama,English,Donald Shebib,Njeri Karago,,,"Dec 1, 2019",,1h 36m,,"Two Italian POWs (Vincent Spano, Tony Lo Bianco) race their British captor (Ben Cross) up Mount Kenya in 1942 colonial Africa."
CAROLIN KEBEKUS: THE LAST CHRISTMAS SPECIAL,--,0 Ratings,--,CAROLIN KEBEKUS: THE LAST CHRISTMAS SPECIAL,"Comedy, Stand-Up",German,J. Patrick Arbeiter,"Matthias Murmann, Philipp Käßbohrer, Constanze Weihrauch, Jessica Timm","Carolin Kebekus, Claudius Pläging, Jana Fischer",,"Dec 8, 2021",,1h 16m,,"Carolin Kebekus unpacks the many headaches of the Christmas season, from intense hangovers to the agony of Advent calendars to a big gift-giving gap."
ROSE,--,0 Ratings,--,ROSE,Horror,English (United Kingdom),Jennifer Sheridan,,Matt Stokoe,,,,1h 26m,,A stranger disturbs the delicate sanctuary inhabited by Rose and her husband as she suffers from a harrowing illness.
NUDO MIXTECO,--,0 Ratings,100%,NUDO MIXTECO,Drama,Spanish,Ángeles Cruz,"Lucia Carreras, Lola Ovando",Ángeles Cruz,,,,1h 32m,,"Three lives intersect in a Mixtec community in the highlands of the Mexican state of Oaxaca. During the festival of San Mateo, patron saint of the similarly-named village, María, Esteban and Toña return to their birthplace."
WEST SIDE STORY,84%,"100,000+ Ratings",92%,WEST SIDE STORY,Musical,English,"Jerome Robbins, Robert Wise",Robert Wise,"Jerome Robbins, Arthur Laurents, Ernest Lehman","Oct 18, 1961  Wide","Aug 1, 2006",,2h 31m,United Artists,"A musical in which a modern day Romeo and Juliet are involved in New York street gangs. On the harsh streets of the upper west side, two gangs battle for control of the turf. The situation becomes complicated when a gang members falls in love with a rival's sister."
WHERE IS ANNE FRANK,--,Fewer than 50 Ratings,80%,WHERE IS ANNE FRANK,"Drama, Animation, History, Kids & Family",English,Ari Folman,"Olivier Bizet, Jani Thiltges, Yves Kugelmann, Ari Folman, Alexander Rodnyansky","Anne Frank, Anne Frank",,,,1h 39m,,"Kitty, the imaginary girl to whom Anne Frank wrote her famous diary, comes to life in the Anne Frank House in Amsterdam. Her memories reawakened by reading the diary, believing that if she's alive, Anne must be alive as well, she sets out on a quest to find Anne. We follow Kitty as she travels across Europe and back to Anne Frank's time, armed with the precious book, in search of her beloved friend..."
THE NEW YEARS BABY,--,0 Ratings,--,THE NEW YEARS BABY,Drama,English,Chip Bryant,"Libby Ryan, Art Treyhound",,,,,1h 3m,,"When smart-talking baby Benny has a play date with Becca, he introduces her to his new invention: a dimension-hopping space console."
A GIFT FROM MY BROTHER,--,0 Ratings,--,A GIFT FROM MY BROTHER,Mystery & Thriller,English,Aswar Rahman,Aswar Rahman,Aswar Rahman,,,,1h 11m,,The son and heir of an influential family hires a documentarian to capture his reunion with his brother and their clash over their father's legacy.
TOAST,--,0 Ratings,--,TOAST,"Comedy, Drama",English,Grayson Johnson,Grayson Johnson,Grayson Johnson,,"Sep 9, 2017",,45m,,A woman decides to become homeless on a whim as her grip on reality fades.
PINOCCHIO,33%,"5,000+ Ratings",0%,PINOCCHIO,"Kids & Family, Fantasy",Italian,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Elda Ferri, Gianluigi Braschi","Roberto Benigni, Vincenzo Cerami, Carlo Collodi","Dec 25, 2002  Wide","Feb 14, 2012",$3.7M,1h 48m,Miramax Films,A woodcarver creates a puppet (Roberto Benigni) that longs to become a real boy.
ALL WE HAVE IS NOW,--,0 Ratings,--,ALL WE HAVE IS NOW,,Swedish,Alexandra Dahlström,Göran Olsson,Göran Olsson,,,,1h 16m,,Genre: Documentary
INIQUITY,--,0 Ratings,--,INIQUITY,Drama,English,Joshua Coates,"Joshua Coates, Kevin Skinner, Hanif Jainlett","Joshua Coates, Cynthia Housel, Mario Steele",,"Dec 1, 2020",,1h 39m,,David Marshall's (Brian Jesiolowski) rise to fame as the top lawyer in Philadelphia is threatened by his affair with a married woman.
A VERY MERRY NEW YEAR,--,Fewer than 50 Ratings,--,A VERY MERRY NEW YEAR,"Holiday, Comedy, Drama",English,Karlton T. Clay,"V. Dunlap, Carlos Hall, Kevin McElveen, Arthur Moore",Karlton T. Clay,,"Dec 6, 2021",,2h 35m,,Secrets and old ties are exposed when a career woman invites her high school friends to celebrate the New Year.
MAYA & HER LOVER,--,Fewer than 50 Ratings,--,MAYA & HER LOVER,"Romance, Drama",English,Nicole Sylvester,"Alisa Lomax, Trevite Willis",Nicole Sylvester,,"Dec 7, 2021",,1h 46m,,The mundane life of a 39-year-old introvert is disrupted when she begins a steamy but contentious affair with a much younger man.
STAN,--,Fewer than 50 Ratings,--,STAN,"Biography, Drama",,Jon Sen,Ben Evans,,,,,1h 0m,,"A story of comedy icon Stan Laurel's reunion with his dying screen partner, Oliver Hardy, as they remember their lives and career together."
THE HANDLER,--,Fewer than 50 Ratings,--,THE HANDLER,Action,English,Michael Matteo Rossi,"Anthony Cally, Michael Matteo Rossi",Michael Matteo Rossi,"Dec 7, 2021  Limited","Dec 7, 2021",,1h 25m,Uncork'd Entertainment,"A former marine returns from combat and struggles to find a secure job, until he comes in contact with an underground crime boss who has him do odd jobs and dangerous gigs for cash. When he tries to quit, he finds himself pursued by mercenaries."
RAI,--,0 Ratings,--,RAI,"Comedy, Drama",French (Canada),Thomas Gilou,"Aïssa Djabri, Farid Lahouassa",,,,,1h 24m,,A hard-working man (Mustapha Benstiti) and his druggie brother live with their mother in a violent housing project in France.
A SISTERLY CHRISTMAS,--,0 Ratings,--,A SISTERLY CHRISTMAS,"Holiday, Romance",English,Jerry LaMothe,Hayden Baptiste,"Angela Burt-Murray, Maryam Myika Day",,,,1h 24m,,"Kristina and Vicky's aunt gifts them a stay at a luxury resort for Christmas in hopes of bringing them closer together. The sisters reluctantly accept her gift, and chaos ensues as they compete in the resort's charity Christmas competition."
LIVE IN FRONT OF A STUDIO AUDIENCE: THE FACTS OF LIFE AND DIFF'RENT STROKES,--,Fewer than 50 Ratings,--,LIVE IN FRONT OF A STUDIO AUDIENCE: THE FACTS OF LIFE AND DIFF'RENT STROKES,Comedy,English,"James Burrows, Andy Fisher",,,,"Dec 7, 2021",,,,"A re-creation of classic episodes of ""The Facts of Life"" and ""Diff'rent Strokes."""
ON THE TRAIL OF THE LAKE MICHIGAN MOTHMAN,--,0 Ratings,--,ON THE TRAIL OF THE LAKE MICHIGAN MOTHMAN,"Documentary, Horror, Fantasy",English,Seth Breedlove,"Seth Breedlove, Adrienne Breedlove",Heather Moser,,,,1h 12m,,"In 2017 a rash of sightings of a winged creature spreads around Chicago. Small Town Monsters launches its own investigation into the Mothman sightings that spread around Illinois, Indiana and Michigan."
2020: THE DUMPSTER FIRE,--,Fewer than 50 Ratings,--,2020: THE DUMPSTER FIRE,Documentary,English,Rod Webber,"Nathan Oliver, Lauren Pespisa, Daryle Lamont Jenkins, Greyson Welch, David T. Grophear, Embry Galen, Rod Webber",Rod Webber,"Dec 7, 2021  Limited","Jan 6, 2022",,1h 31m,Buffalo 8,"The film follows artist/film director, Rod Webber, and his satirical presidential campaign and the tumultuous protests of 2020. Rod Webber merrily trolls the 2020 Presidential election accompanied by Lauren Pespisa (The Hacker Wars) and Vermin Supreme (From the Internet). When George Floyd is murdered, Webber straps on his gas mask to give a first-hand account of the tumultuous and often brutal protests which erupt across the country. The film concludes with Stop The Steal, January 6th, and Webber's legal victory over Donald Trump in his civil suit. The film includes interviews with Noam Chomsky, Jello Biafra, Daryle Lamont Jenkins, Michael Moore and about a dozen 2020 candidates."
CHRISTMAS MOVIE MAGIC,--,Fewer than 50 Ratings,--,CHRISTMAS MOVIE MAGIC,"Holiday, Romance",English,Robert Vaughn,,"Rickie Castaneda, Megan Hocking",,,,1h 30m,,Sparks fly between an entertainment writer and a small-town theater owner as they work together to unravel the mysterious origins of a classic Christmas movie song.
THE SCRAPPER,80%,Fewer than 50 Ratings,88%,THE SCRAPPER,"Mystery & Thriller, Crime, Drama",English,Bari Kang,Stevan Lee Mraovitch,Bari Kang,,"Dec 7, 2021",,1h 27m,,"Queens, New York City. A criminal playing-ﬁeld of modern immigrant syndicates: human-trafﬁcking, money-laundering and unﬂinching brutality. Uncomfortable in his Punjabi-Mexican skin, ex-con turned 'scrapper' Jake carries the weight of both his family legacy and a violent past. Caring for a mentally-challenged brother and an unborn child on the way, he is focused on turning his life around. When one last job presents a way out for good, he must decide between loyalty to blood ties or to his newfound family. His past soon catches up with him and he's thrown into the middle of a conﬂict between Punjabi and Mexican factions led by violent, ruthless criminals. As events explode into brutal violence, with everyone he loves at stake, he may need to go to his own darkest places to ﬁnally escape."
HEAVY,68%,"1,000+ Ratings",87%,HEAVY,Drama,English,James Mangold,Dick Miller,James Mangold,,"Dec 5, 2016",$985.7K,1h 45m,,"A shy, overweight pizza maker (Pruitt Taylor Vince) likes a teenage waitress (Liv Tyler) at his mother's (Shelley Winters) roadside tavern."
FOUR COUSINS AND A CHRISTMAS,--,Fewer than 50 Ratings,--,FOUR COUSINS AND A CHRISTMAS,"Holiday, Comedy, Drama",English,Maria Capp,"Jayson Bernard, Maria Capp, Kristi Kilday, Roberto Rosario Jr., Raffaela Capp","Elliott Estrada, Raffaela Capp",,"Dec 7, 2021",,1h 30m,,"Cousins are excited to celebrate Christmas with one another until their estranged grandfather summons them home for their beloved grandmother's memorial. Despite personal problems, with a little pizza and wine, the girls remember family comes first."
ARE YOU HAPPY NOW,--,Fewer than 50 Ratings,--,ARE YOU HAPPY NOW,"Romance, Comedy",English,David Beinstein,"Kate Geller, Alan McIntyre Smith, Brant Sersen, Rabia Sultana, Josh Ruben, Greta Cowan",David Beinstein,,"Dec 7, 2021",,1h 35m,,"ARE YOU HAPPY NOW is the story of Adam, who can't live without Gina, so when he finally gets the nerve up to ask her to marry he's devastated by her principled refusal. ""Husbands used to own their wives!"" she retorts, having no interest in recreating her parents tortured home. Gina finally agrees to marry, but Adam's hardly up to the task. Does true love mean divorce?"
DON'T LOOK UP,6%,250+ Ratings,--,DON'T LOOK UP,Horror,English,Fruit Chan,"Yôko Asakura, Brian Cox, Anant Singh","Brian Cox, Hiroshi Takahashi",,,,1h 38m,,A crew filming a movie in Transylvania accidentally releases an old spirit that drives them insane.
FATAL DISTRACTION,--,Fewer than 50 Ratings,--,FATAL DISTRACTION,Documentary,English,Susan Morgan Cooper,Susan Morgan Cooper,Susan Morgan Cooper,,"Dec 7, 2021",,1h 32m,,The story of the high-profile murder trial of Justin Ross Harris following the death of his toddler son in the hot summer of 2014.
THURSDAY,82%,"5,000+ Ratings",43%,THURSDAY,"Mystery & Thriller, Comedy",English,Skip Woods,Alan Poul,Skip Woods,"Sep 17, 1998  Original",,$2.0K,1h 25m,,"An architect's (Thomas Jane) former crime partner (Aaron Eckhart) shows up with drugs and gangster business, attracting a slew of unsavory characters."
THE DEVIL'S RING,--,0 Ratings,--,THE DEVIL'S RING,Action,English,,,,,"Dec 7, 2021",,1h 36m,,"After a traumatic past, a once-promising young boxing prospect, Anthony Santiago, returns home from prison to seek redemption, only to catch the attention of a big boxing promoter, Mr. Deville, with a sinister reputation. After a deal gone wrong, the young boxer must now seek help from a retired champion, Roy DeSilva, in a literal fight for his soul from the devil himself."
RATS 2: THEY'RE BACK WITH A VENGEANCE,--,Fewer than 50 Ratings,--,RATS 2: THEY'RE BACK WITH A VENGEANCE,Horror,German,Jörg Lühdorff,,Alexander M. Rümelin,,,,1h 38m,,Two scientists risk their lives to eradicate numerous rodents threatening a town.
WE TOO TOGETHER,--,0 Ratings,--,WE TOO TOGETHER,"Drama, Romance",English (United Kingdom),Deborah Hadfield,Deborah Hadfield,Deborah Hadfield,,,,,,"An autistic boy and his father, who returns from war with PTSD, help each other find peace with the help of martial arts and music. As a man, he also learns to follow his heart when he finds a woman who loves him just as he is."
HIP HOP FAMILY CHRISTMAS,--,Fewer than 50 Ratings,--,HIP HOP FAMILY CHRISTMAS,"Holiday, Drama",English,Greg Carter,,"Greg Carter, Datari Turner, Aydrea Walden, Saeed Crumpler","Dec 6, 2021  Limited",,,1h 29m,,Hip-hop's most famous family agrees to participate in a live Christmas television special to address negative press and soften their image.
SECRETLY SANTA,--,Fewer than 50 Ratings,--,SECRETLY SANTA,"Holiday, Romance",English,Sharon Lewis,Mary Petryshyn,John Dion,,"Dec 7, 2021",,1h 30m,,Business rivals who playfully despise each other develop unexpected feelings while working together on a holiday gift-giving app.
LIVE!,43%,"10,000+ Ratings",47%,LIVE!,"Comedy, Drama",English,Bill Guttentag,"Alex Gartner, William Green, Charles Roven",Bill Guttentag,,"Dec 1, 2009",,1h 36m,,"Documentarian Rex (David Krumholtz) follows ruthless reality television producer Katy Courbet (Eva Mendes), a woman who will stop at nothing to revive the American Broadcasting Network's failing ratings -- and forward her own career. To the dismay of the government, Courbet approves a reality show that will become network television's first foray into snuff. In the first episode, contestants engage in a deadly game of Russian roulette for the chance at a multi-million-dollar cash prize."
A GOOD DEATH,--,0 Ratings,--,A GOOD DEATH,Documentary,English,Paul Van Ness,,,,,,1h 13m,,"With a diagnosis of brain cancer, Massachusetts pastor and teacher Howie Rich creates a blueprint for making the most of the time he has left in order to die with dignity."
THE NEST,--,0 Ratings,--,THE NEST,Drama,Italian,Klaudia Reynicke-Candeloro,Tiziana Soudani,Klaudia Reynicke-Candeloro,,"Jan 4, 2019",,1h 20m,,A newcomer upsets the harmony of an Italian village famous for its apparitions of the Virgin Mary.
RESIDENTS OF ARCADIA,--,0 Ratings,--,RESIDENTS OF ARCADIA,"Drama, Sci-Fi, Mystery & Thriller",English,Dom Cutrupi,"Olivier Leroux,",Dom Cutrupi,,,,1h 23m,,Two social media influencers have their perfect lives disrupted when a mysterious countdown appears on screens throughout their home.
ANTONIO,--,0 Ratings,--,ANTONIO,Drama,English,Claudio Guzmán,,,,"Jun 23, 2017",,1h 21m,,A South American villager's life takes a turn for the worse when he tries to return a car to an eccentric Texas oilman.
SNAPSHOTS,43%,50+ Ratings,--,SNAPSHOTS,"Romance, Comedy",English,Rudolf van den Berg,Pierre Spengler,"Michael O'Loughlin, Rudolf van den Berg",,"Apr 22, 2003",,1h 33m,,A middle-aged man (Burt Reynolds) falls for the teenage daughter (Carmen Chaplin) of a woman (Julie Christie) he was attracted to years earlier.
HANDS,--,0 Ratings,--,HANDS,Drama,English,Xavi José,"Gil Gilbert, Xavi José, Carter Pilcher",Pep Garrido,,"Mar 23, 2017",,9m,,Two friends struggle with a terrible secret that might break them apart.
THE PROTECTOR,76%,"50,000+ Ratings",53%,THE PROTECTOR,Action,Thai,Prachya Pinkaew,"Prachya Pinkaew, Sukanya Vongsthapat","Kongdej Jaturanrasamee, Napalee, Piyaros Thongdee, Joe Wannapin","Sep 8, 2006  Wide","Jan 2, 2007",$11.9M,1h 24m,Weinstein Co.,"A young fighter (Tony Jaa) travels to Australia to retrieve stolen elephants that were promised originally to the king of Thailand. Once there, he enlists the aid of a Thai-born Aussie detective to help him achieve his goal, and he uses his fierce Muay Thai moves to battle an evil woman's gang of deadly bodyguards."
"GIRL, INTERRUPTED",84%,"100,000+ Ratings",53%,"GIRL, INTERRUPTED",Drama,English,James Mangold,"Cathy Konrad, Douglas Wick","Susanna Kaysen, James Mangold, Lisa Loomer, Anna Hamilton Phelan","Jan 14, 2000  Wide","Feb 4, 2003",,2h 7m,Columbia Pictures,"Set in the changing world of the late 1960s, ""Girl, Interrupted"" is the searing true story of Susanna Kaysen (Winona Ryder), a young woman who finds herself at a renowned mental institution for troubled young women, where she must choose between the world of people who belong on the inside -- like the seductive and dangerous Lisa (Angelina Jolie) -- or the often difficult world of reality on the outside."
THE STALKER,93%,50+ Ratings,--,THE STALKER,"Horror, Mystery & Thriller",English,John Giorgio,Leon Lewis,Michelle Lewis,,"Sep 25, 2020",,1h 0m,,"Steve and Wendy Hamilton race to get out of town, after one mistake leads to the next. The man only known as the Stalker is looking for them and their children, and is willing to kill anyone who gets in his way."
WRITING AROUND THE CHRISTMAS TREE,--,0 Ratings,--,WRITING AROUND THE CHRISTMAS TREE,"Holiday, Romance",English,Jake Helgren,"Jake Helgren, Autumn Federici",Jake Helgren,,,,1h 30m,,"A romance novelist meets a dashing author at a holiday writer's retreat who convinces her that to write about love, she must, first, experience it."
A FURRY LITTLE CHRISTMAS,--,Fewer than 50 Ratings,--,A FURRY LITTLE CHRISTMAS,"Holiday, Romance, Comedy",English,Dylan Vox,Liana Rae Perez,Andra Gordon-Gatica,,,,1h 5m,,A big-city veterinarian falls for a small-town doctor when he sets out to re-create a New York City Christmas in her Vermont hometown.
MY FAVORITE CHRISTMAS MELODY,--,Fewer than 50 Ratings,--,MY FAVORITE CHRISTMAS MELODY,"Holiday, Romance",English,Michael Kennedy,Mary Petryshyn,Lauren Balson Carter,,"Dec 6, 2021",,1h 30m,,"Once a promising singer-songwriter, Abby now finds herself writing uninspired jingles for commercials. As she heads home for the holidays, Abby soon rediscovers her voice as a local music teacher enlists her to help save a school arts program."
A LOT LIKE CHRISTMAS,--,0 Ratings,--,A LOT LIKE CHRISTMAS,"Romance, Comedy",English,Kenneth Desvigne Jr.,"Owen McManus, Tammy McManus",,,"Nov 1, 2019",,1h 45m,,"After not seeing his family for over 7 years, P.J. gets talked into going home for Christmas by his co-workers. When he arrives, he reconnects with his high school sweetheart, Rebecca."
SISTER SWAP: A HOMETOWN HOLIDAY,--,0 Ratings,--,SISTER SWAP: A HOMETOWN HOLIDAY,"Holiday, Romance, Comedy",English,Sean McNamara,David M. Wulf,"Claire Boyles, Zac Hug, Erik Patterson, Jessica Scott",,,,1h 23m,,Two sisters find a new sense of purpose and discover what they both truly need in life during the holidays.
ANCHORAGE,--,0 Ratings,--,ANCHORAGE,"Drama, Mystery & Thriller",English,Scott Monahan,"Scott Monahan, Dakota Loesch",Dakota Loesch,,,,1h 21m,,"Jacob (Scott Monahan) and John (Dakota Loesch) are two brothers with a busted whip and a dream. Their plan is to drive a trunk full of opioids from Florida to Alaska to cash-in big in the Land of Gold. That plan gets challenged by their surroundings, their shortcomings, and their tendency to dip into their own supply. A split-second act of violence somewhere in the California desert derails their trip and sets them on a crash course with tragedy."
